term_a,term_b,pmi,co_occurrence_count
accessibility,general,0.06801963540039924,15
accessibility,gis-based,1.1740120313661313,17
accessibility,highlighting,0.451011887656505,11
accessibility,identify,0.24175744850296235,29
accessibility,identifying,0.33935256985065076,13
accessibility,inclusive,0.7260754961490746,30
accessibility,increasingly,0.3077622455630611,16
accessibility,inform,0.04158637833224364,6
accessibility,infrastructure,0.4310511450939671,62
accessibility,intervention,0.4184781139963521,27
accessibility,limitation,0.4980179300324358,14
accessibility,link,0.1456302381053232,11
accessibility,lower,0.31373750875314815,25
accessibility,mobility,0.5400661662759351,70
accessibility,model,0.05998746370313513,93
accessibility,need,0.20180939257874253,79
accessibility,offer,0.5821730492590648,43
accessibility,older,0.5490731008327197,13
accessibility,population,0.1800504619918025,77
accessibility,priority,0.46903039315918343,10
accessibility,proximity-based,0.7791853214630229,12
accessibility,public,0.17928858774439194,97
accessibility,reduced,0.46903039315918327,14
accessibility,remains,0.19969745937559888,11
accessibility,resident,0.258929272258153,71
accessibility,risk,0.06964433112740114,11
accessibility,share,0.09746683672670046,8
accessibility,show,0.2867088363652287,69
accessibility,spatial,0.2716709590006882,110
accessibility,speed,0.6433837803039612,10
accessibility,station,0.3737202133548585,16
accessibility,surrounding,0.08603814090307754,6
accessibility,targeted,0.8147762665657254,13
accessibility,threshold,0.818925650112537,21
accessibility,vehicle,0.39793447147545313,19
accessibility,walkable,0.1722984851874845,44
accessibility,walking,0.7227573678454734,83
accessibility,within,0.38725006558710623,115
accessibility,zone,0.11235544922045093,14
adult,age,2.370049018460722,8
adult,analysis,0.251605318977617,11
adult,associated,1.0155033556554116,6
adult,benefit,0.5782895492326671,5
adult,environment,0.5944449894549522,13
adult,higher,0.8194516060495549,7
adult,lower,1.2576434076602765,6
adult,model,0.09563480243337279,9
adult,need,0.1492939437143085,7
adult,older,3.063196199020667,15
adult,policy,0.09563480243337279,9
adult,population,0.8463246243006515,14
adult,public,0.05504140546811925,8
adult,resident,0.852178299552112,12
adult,show,0.5030661279950794,8
adult,spatial,0.507162205217083,13
adult,walkable,1.3240804632780343,13
adult,walking,1.0728342873945202,11
adult,within,0.41123546456950066,11
age,analysis,0.13097733118900223,13
age,associated,0.881971963030889,7
age,community,0.7740341263587625,10
age,distance,0.14242696394013132,6
age,environment,0.5144022817814158,16
age,equity,1.3168991038693696,5
age,facility,0.4241388694054087,5
age,higher,0.6653009262222966,8
age,lower,0.787639778414541,5
age,need,0.3135969950055848,11
age,objective,1.333957086773946,11
age,offer,0.6960725848890504,6
age,older,2.1469054671465124,8
age,population,0.8640242014000522,19
age,public,0.3959679924387124,15
age,resident,0.8521782995521121,16
age,show,0.2153840555432985,8
age,spatial,0.21948013276530187,13
age,walkable,0.7740341263587625,10
age,walking,0.785152214942739,11
age,within,0.43370832042155927,15
aiming,amenity,0.9354606479818752,6
aiming,analysis,0.0762524314997558,10
aiming,building,0.5408064559779265,6
aiming,critical,1.0372433422918175,6
aiming,density,0.6882904444469956,13
aiming,disparity,1.572166517636869,5
aiming,distance,0.7555314368265404,9
aiming,environment,0.25203801731392483,10
aiming,equitable,1.1586041992960852,5
aiming,focus,0.6115755268661338,7
aiming,identify,1.1113513144455396,7
aiming,intervention,1.359530943921074,7
aiming,mobility,0.1919883835344143,5
aiming,model,0.5264177185258269,15
aiming,need,0.4259261799795046,10
aiming,offer,0.903711949667295,6
aiming,policy,0.303274167211617,12
aiming,population,0.3244491643480759,9
aiming,resident,0.6851242148889459,11
aiming,spatial,0.2600654128803802,11
aiming,transition,1.5480689660578082,5
aiming,walking,0.7921208842588326,9
aiming,within,0.641347685199804,15
amenity,apply,1.0155033556554116,5
amenity,associated,0.06642280095826565,9
amenity,benefit,0.25336330360851483,14
amenity,concentration,0.48487510459324146,5
amenity,critical,0.5359302753935253,13
amenity,density,0.21613396184015873,29
amenity,disparity,0.8854502274072139,9
amenity,distance,0.27953617791253815,20
amenity,dynamic,0.16820549526820797,6
amenity,environment,0.1714575306545854,33
amenity,equitable,0.8396126891917475,13
amenity,equity,0.7200391427615757,8
amenity,evaluates,0.7278212832036306,6
amenity,facility,0.2327440164057791,12
amenity,focus,0.38689469623303757,20
amenity,higher,0.003902443976931524,12
amenity,highlighting,1.0155033556554116,7
amenity,identify,0.45588756771998906,13
amenity,identifying,0.4003177165651784,5
amenity,inclusive,0.5385792835651023,9
amenity,increasingly,0.34340958429329865,6
amenity,intervention,0.4417029327280326,10
amenity,limitation,0.9548787338389769,8
amenity,lower,0.30856285296313035,9
amenity,market,0.6382091245139435,6
amenity,mobility,0.19841927386470454,18
amenity,model,0.20742620842148926,39
amenity,need,0.10693466987516681,26
amenity,offer,0.6100382475472473,16
amenity,older,0.6100382475472471,5
amenity,policy,0.04037212375832316,33
amenity,priority,0.7923598043412019,5
amenity,proximity-based,1.2566654124722998,7
amenity,public,0.08679010378269943,32
amenity,resident,0.5390865115749628,34
amenity,show,0.32717546153141513,26
amenity,site,0.28153418057521107,6
amenity,spatial,0.22525334467662156,38
amenity,targeted,1.0580629700742075,6
amenity,threshold,0.7367899531863912,7
amenity,walkable,0.4491078807346104,21
amenity,walking,0.5784898898123212,26
amenity,within,0.5906201616901456,51
analysis,apply,0.5209382527612013,12
analysis,associated,0.11008229601816044,37
analysis,building,0.016533196798133563,50
analysis,concentration,0.2134535530132408,15
analysis,consideration,0.3926839172375224,19
