T1,T2,T3,T4,T5,T6,dominant_topic
0.6546789060771657,0.0011355560000023187,0.0011361415756723644,0.3038883087209619,0.0011426416771894827,0.03801844594900817,T1
0.09366727119517675,0.0014013973396964955,0.001399115267802903,0.8437784989911109,0.05834945220887351,0.0014042649973394397,T4
0.001754740865415098,0.0017481953963655458,0.31215603751414855,0.47891366652798883,0.06163559331754811,0.14379176637853397,T4
0.47987616294866287,0.0015982590960599216,0.0016018412964021202,0.5137294009493858,0.00159713711720146,0.0015971985922878127,T4
0.7594542693011282,0.001195898042867053,0.11613294629023459,0.001194411300850301,0.001201385321176475,0.1208210897437432,T1
0.9927190666792589,0.0014574876232914696,0.0014527661207392152,0.0014536203890052094,0.0014492110466538656,0.001467848141051254,T1
0.45697220596173316,0.1317217722677826,0.001274687863295781,0.4074854757643205,0.0012676839946361715,0.0012781741482317207,T1
0.8013728631352972,0.0011959879042460196,0.06873771874514652,0.12630813795460114,0.001189940461922105,0.0011953517987872018,T1
0.9552840189746945,0.0015021852120698292,0.03871632097452395,0.0015047594521119933,0.0014962040362430265,0.0014965113503567831,T1
0.24704369113271074,0.57518666260498,0.0011099997213067144,0.0011095082253478026,0.17444181966938813,0.0011083186462664716,T2
0.23311063530336237,0.053045632952448366,0.4821843907695028,0.22848679676247166,0.0015862454077273372,0.001586298804487353,T3
0.6053009073134866,0.03192861505753176,0.09513797059049589,0.2639772261957828,0.0018231169808005229,0.001832163861902215,T1
0.7697689995637146,0.0014791183871271994,0.08530199799230115,0.08514233098243894,0.05682994871968736,0.001477604354730686,T1
0.146023964708867,0.5031740119235515,0.002341746657408514,0.3437908372653459,0.002334773873280657,0.0023346655715463537,T2
0.3461622519234218,0.11859763160224046,0.0011511594820732072,0.001156115319222922,0.30520797768692703,0.22772486398611438,T1
0.17821258036297324,0.0011959190757069784,0.04920670478325345,0.3180227615891379,0.0011937133590333648,0.452168320829895,T6
0.1862055240305737,0.0010697082939602025,0.18184315592600558,0.25318255853671257,0.04538993412503493,0.3323091190877131,T6
0.6917778467482837,0.001677534939731364,0.001660288121389142,0.3015585562942229,0.0016579078659578724,0.0016678660304150987,T1
